-5.911061608156562876e-03,2.824786217149171524e-02,8.655525615265490247e-01,-1.252013231731786969e-02,3.517363397634554883e-02,8.545736563189891832e-01,5.179864165065038994e-01,1.162648844565565553e-01,6.077739717556256138e-03,2.196016422154487835e-01,5.083438680991331227e-01,-3.544256819392582053e-02,3.731032012476803716e-02,-3.036051440881478714e-01,-9.548031282871949355e-02,-2.691823815315999013e-01,2.119498076327175073e-01,5.803601611082243039e-02,9.092472046877117520e-02,-2.183946012402520898e-01,4.394522496676711576e-02,1.217351740792383674e-01,2.314198971908564828e-01,8.173760348830264588e-01,-7.735216590115830959e-01,-1.459469556011776803e-01,-4.950791092760269962e-01,-2.775422305000793677e-01,-7.587152523340109922e-02,-1.511915971848404872e-01,-4.678805767124026294e-01,4.031130123374913055e-01,8.691387784302029296e-01,1.088291335780552649e-01,-1.528627167499187200e-02,-7.953889977337716410e-02
-1.095516506856933879e-02,4.506099386586413791e-02,8.702624546334379874e-01,-1.619954068242783485e-02,4.343397689302894160e-02,8.529583706990959691e-01,5.199164186552276412e-01,2.216030379174340620e-02,1.416963155101547828e-02,2.377524455957463756e-01,5.812565991577891555e-01,-6.281927803176259872e-02,5.337528728898129071e-02,-2.787224697171529764e-01,-9.514718837124397366e-02,-2.625347676625660598e-01,1.902484596157058006e-01,3.572458118536785132e-02,8.633641012035890572e-02,-1.997086985468725373e-01,2.778872765516154572e-02,1.132052785143900647e-01,2.438372087819432044e-01,8.391692005278547084e-01,-7.598832237284991464e-01,-1.574458918822636555e-01,-5.129361419163531721e-01,-2.764059723761530529e-01,-7.433800572004038709e-02,-1.712488880323212448e-01,-4.588749767102826560e-01,4.247800861545984463e-01,9.277800355930391207e-01,1.020159378386119031e-01,-4.741825947614922848e-02,-7.207637217962779841e-02
-1.680462013073079006e-02,6.407086564124835071e-02,8.747571807734262350e-01,-1.764279006300957520e-02,4.802418060417100454e-02,8.452477723161766487e-01,5.319197434111950784e-01,-5.951858097091197730e-02,1.772570843643395122e-02,2.669781603461156561e-01,6.120785008710066810e-01,-1.004017292177762366e-01,7.175823781535536905e-02,-2.401977471984645118e-01,-8.587889614690177864e-02,-2.490867430341661415e-01,1.655103460823869055e-01,1.607382336754155372e-02,8.655901821695154152e-02,-1.574206419122871903e-01,1.517998954913501661e-02,1.164916077530065153e-01,2.614629673109548635e-01,8.396308708760180650e-01,-7.362558561403611535e-01,-1.707487141415152399e-01,-5.296361363454882287e-01,-2.707824686631313815e-01,-8.097545823523671915e-02,-1.784646899667356734e-01,-4.477868342604354179e-01,4.290525298787752906e-01,9.512051023788028470e-01,1.144839142078176303e-01,-5.596778640854044307e-02,-7.482640403548117269e-02
-2.338567039390726521e-02,8.510323175948054930e-02,8.782362559749251618e-01,-2.103302791566934865e-02,4.960440623407612326e-02,8.366926870184705489e-01,5.450159283073069405e-01,-1.258190385695800717e-01,1.285290131257375151e-02,2.821323445062058344e-01,5.668954939159557282e-01,-1.279742918756606729e-01,7.970982534905667050e-02,-1.957144143272368519e-01,-7.521650124215825683e-02,-2.398514038139231697e-01,1.382491183263327983e-01,6.587426345899372038e-03,9.014632472800389318e-02,-1.064261074370452809e-01,1.078025937311210408e-02,1.167085120641298268e-01,2.839338283647591665e-01,8.443949750177039970e-01,-7.126412145991286584e-01,-1.845176903028119264e-01,-5.275399570723180442e-01,-2.810750503205807216e-01,-7.861892872636382090e-02,-1.833163832596168275e-01,-4.417553773940702810e-01,4.427184863166679918e-01,9.626965041773168918e-01,9.782831740121060438e-02,-6.230230822053973300e-02,-7.836984129631481555e-02
-3.057200616913186009e-02,1.081399784264150121e-01,8.807382399857935917e-01,-2.358456400408725714e-02,4.718542525819791056e-02,8.265590653651582187e-01,5.603725684280205233e-01,-1.867651946216933034e-01,1.186100198375425116e-02,2.973209023317228139e-01,4.836407053422661084e-01,-1.384371554810364946e-01,7.137455441104739728e-02,-1.493158798945701526e-01,-5.622445029389226689e-02,-2.339766232900457599e-01,1.218934877505109537e-01,-1.990174792771831624e-03,8.504920860278923633e-02,-4.227389658839759978e-02,1.196395134114172989e-02,1.229692792258602341e-01,3.211661786689868903e-01,8.431981576533563727e-01,-6.654921601914948193e-01,-2.050422206761344235e-01,-5.341514708211986262e-01,-3.012840032917302180e-01,-5.838919658177259969e-02,-1.926165911687974797e-01,-4.381318759538634922e-01,4.585556528218553973e-01,9.676450782834445929e-01,9.531916205139485954e-02,-7.472162514366695318e-02,-9.081178238226240984e-02
-3.830891359130564333e-02,1.329067264222510703e-01,8.812855985088818844e-01,-2.565814064071805789e-02,4.459384721278705083e-02,8.126098856322249153e-01,5.805327056957313436e-01,-2.394425716198194110e-01,1.661169418229259398e-02,3.084101460344151890e-01,3.793044351162964123e-01,-1.303320619547037595e-01,5.449802674410672565e-02,-9.634616493746089860e-02,-3.126899042763784525e-02,-2.127574500670517121e-01,9.646780756885012242e-02,-1.737692582079741754e-02,8.742733135131879052e-02,1.959231868609622937e-02,1.639588166329189467e-02,1.358126406172856515e-01,3.684656939349749138e-01,8.403929926454037913e-01,-6.063513339987065542e-01,-2.271979903593892847e-01,-5.163399413068180399e-01,-3.271175698966934386e-01,-3.062446223409238250e-02,-2.182932289954553351e-01,-4.285639274902257045e-01,4.784643997207829180e-01,9.832573808476628985e-01,7.645912134343670064e-02,-7.791849850038441716e-02,-1.056564204113565331e-01
-4.674186893602327170e-02,1.590946739958253586e-01,8.793982220993761256e-01,-2.629721548970892497e-02,4.242154655967221577e-02,7.986352877671105688e-01,5.997420662068977393e-01,-2.736668749950001422e-01,2.796154782016289225e-02,3.240250269410277495e-01,2.473456770427283069e-01,-1.009738318042307514e-01,2.488955779161591136e-02,-3.451637477350254918e-02,-1.011474902787177707e-02,-2.005857641974729266e-01,6.309492766174219780e-02,-3.621859682674570535e-02,9.154945495082227047e-02,7.427514575717324152e-02,2.056282417847201532e-02,1.481968266709194626e-01,4.203742221498932286e-01,8.366136224142075584e-01,-5.358167400665528879e-01,-2.555984035733063764e-01,-4.943676897002543535e-01,-3.538235397803701221e-01,1.838784318814360580e-02,-2.514814318288423056e-01,-4.220735495716390062e-01,4.905550872374250804e-01,9.866560026037869413e-01,7.129270749880353697e-02,-8.094122630443778554e-02,-1.159427143045126951e-01
-5.588538856795411541e-02,1.864503311285106713e-01,8.754575874550587500e-01,-2.259610649926575496e-02,3.673321389822946370e-02,7.862207895269398561e-01,6.164389321606942307e-01,-3.054992252754866189e-01,3.895082966525828527e-02,3.416248518908222565e-01,1.314021409825774644e-01,-6.255795542462522230e-02,-1.308305684171023539e-02,3.296019864962713292e-02,4.721838181266765390e-03,-1.794324853300788281e-01,4.910847341931180027e-02,-7.817609952442282351e-02,9.147992594565780566e-02,1.276539768782108675e-01,3.019120769083422431e-02,1.637858079756988050e-01,4.823646359796748828e-01,7.996220737700080461e-01,-4.390318679948573832e-01,-2.803008636852181712e-01,-4.501389082788271878e-01,-3.726161835302598258e-01,7.254649842897485656e-02,-2.822391629310834205e-01,-3.982633925174854372e-01,4.995556182806600853e-01,1.003506965888456115e+00,5.199307652138104863e-02,-7.293063873998559266e-02,-1.243560079352745151e-01
-6.579815634336690089e-02,2.143782755565977471e-01,8.708291871073823298e-01,-1.993652362652283822e-02,2.997621968152936259e-02,7.789015563420055299e-01,6.261120720823839525e-01,-3.234383396838240166e-01,4.385603400413209951e-02,3.508735389173666674e-01,4.822137391759247216e-02,-3.215694715682874960e-02,-3.779680821869912249e-02,9.215560094217423170e-02,1.369664362077661554e-02,-1.530189360541571730e-01,5.048627291480617396e-02,-1.153298058435237861e-01,9.093875045164546977e-02,1.680071900440198718e-01,3.740085125502143337e-02,1.731840343902789625e-01,5.236654530674135222e-01,7.660911169624518013e-01,-3.648538044388330293e-01,-3.025766163872819492e-01,-4.264299985688130845e-01,-3.639834355128468979e-01,8.679081368346196201e-02,-3.035603216273274341e-01,-3.762772519224308332e-01,5.070573159360539650e-01,1.014836577236699622e+00,2.821305709318332883e-02,-6.648460819446451453e-02,-1.365831355361292743e-01
-7.682152854409994569e-02,2.424688254508575169e-01,8.649891908833791110e-01,-2.054963257853113096e-02,2.414346327342897433e-02,7.726784376678922373e-01,6.340053925205669794e-01,-3.378815578357630134e-01,4.244954876112245340e-02,3.535858095558552239e-01,-1.104949080019297647e-02,-4.232336592104216089e-03,-5.915386481683092973e-02,1.493354953109715666e-01,1.988608198782095340e-02,-1.365253270869172253e-01,4.395915237026164907e-02,-1.432405544463616065e-01,9.254275493028918387e-02,2.071394423641211568e-01,4.347614349954895263e-02,1.727680004283549120e-01,5.476217205965057122e-01,7.195702000584363045e-01,-3.027406860874987671e-01,-3.170684589795217945e-01,-4.207683125886582665e-01,-3.500722290738603193e-01,7.692725044591473826e-02,-3.129602069766387884e-01,-3.559016952034173564e-01,5.103041754881215697e-01,1.038243221785579040e+00,1.692801433172682691e-03,-5.648732384999173572e-02,-1.380895398428070298e-01
